id	yt-simple-endpoint href	durations	yt-simple-endpoint	yt-simple-endpoint 2	yt-simple-endpoint href 3	style-scope 5	style-scope 7	style-scope 9
50	https://www.youtube.com/watch?v=nt8gUax1Aj0&list=WL&index=50&pp=gAQBiAQB	18:56	How I'd use Sora 2 + Claude to hit 1M+ views on AI videos	Greg Isenberg	https://www.youtube.com/@GregIsenberg	52K views	1 month ago	
51	https://www.youtube.com/watch?v=PBdNc9eKh1Y&list=WL&index=51&pp=gAQBiAQB	59:33	When Did We Become Conscious?	History of Humankind	https://www.youtube.com/@HistoryofHumankind	322K views	1 month ago	WATCHED
52	https://www.youtube.com/watch?v=hjR8rHjqS9A&list=WL&index=52&t=111s&pp=gAQBiAQB	23:09	Brian Cox: Why even Einstein doubted the existence of black holes	Big Think	https://www.youtube.com/@bigthink	437K views	1 month ago	WATCHED
53	https://www.youtube.com/watch?v=mWeVr6f50V0&list=WL&index=53&pp=gAQBiAQB	2:33	Converting inbound leads into customers at OpenAI	OpenAI	https://www.youtube.com/@OpenAI	41K views	1 month ago	WATCHED
54	https://www.youtube.com/watch?v=dhyhR4Bzc0I&list=WL&index=54&pp=gAQBiAQB	26:33	Software is Eating Labor	a16z	https://www.youtube.com/@a16z	53K views	1 month ago	WATCHED
55	https://www.youtube.com/watch?v=TWWS_lo4kOA&list=WL&index=55&pp=gAQBiAQB	9:07	Tanstack Start is now my Go-To Framework	backpine labs	https://www.youtube.com/@backpine	30K views	1 month ago	WATCHED
56	https://www.youtube.com/watch?v=4bh_GxznaDg&list=WL&index=56&pp=gAQBiAQB	3:00	We invented the first electric skateboard that rides like a real one	Liquid Skateboard	https://www.youtube.com/@liquidskateboard	597K views	1 month ago	WATCHED
57	https://www.youtube.com/watch?v=dQhnSB0WMoM&list=WL&index=57&pp=gAQBiAQB	46:07	The App That’ll Be Bigger Than TikTok	My First Million	https://www.youtube.com/@MyFirstMillionPod	44K views	1 month ago	WATCHED
58	https://www.youtube.com/watch?v=wcZ6jSlZqDc&list=WL&index=58&pp=gAQBiAQB	8:59	The Easy Way to Fix Boring UIs	Sajid	https://www.youtube.com/@whosajid	146K views	1 month ago	WATCHED
59	https://www.youtube.com/watch?v=LJJnu0zfI6w&list=WL&index=59&pp=gAQBiAQB	19:54	Better than Claude and 10x cheaper?? GLM-4.6 is so good	Theo - t3․gg	https://www.youtube.com/@t3dotgg	72K views	1 month ago	WATCHED
60	https://www.youtube.com/watch?v=SquU4Bpc73Y&list=WL&index=60&pp=gAQBiAQB	3:13	Alibaba is going all in on Qwen…	Fireship	https://www.youtube.com/@Fireship	499K views	1 month ago	WATCHED
61	https://www.youtube.com/watch?v=bxBzsSsqQAM&list=WL&index=61&pp=gAQBiAQB0gcJCQMKAYcqIYzv	45:06	The 7 Most Powerful Moats For AI Startups	Y Combinator	https://www.youtube.com/@ycombinator	116K views	1 month ago	WATCHED
62	https://www.youtube.com/watch?v=RgZCqD7Z76g&list=WL&index=62&pp=gAQBiAQB	25:02	Don't Sell AI Automations - Do THIS Instead!	Helena Liu	https://www.youtube.com/@HELENA-LIU	62K views	1 month ago	
63	https://www.youtube.com/watch?v=WIwcvBlyl0c&list=WL&index=63&pp=gAQBiAQB	24:59	Dr.K Breaks Down Life Purpose in 20 Minutes	HealthyGamerGG	https://www.youtube.com/@HealthyGamerGG	457K views	1 month ago	
64	https://www.youtube.com/watch?v=8essLqkBsX8&list=WL&index=64&pp=gAQBiAQB	6:29	How to fine-tune LLMs for with Tunix	Google for Developers	https://www.youtube.com/@GoogleDevelopers	41K views	1 month ago	
65	https://www.youtube.com/watch?v=qjPH9njnaVU&list=WL&index=65&pp=gAQBiAQB	4:34:10	Pavel Durov: Telegram, Freedom, Censorship, Money, Power & Human Nature | Lex Fridman Podcast #482	Lex Fridman	https://www.youtube.com/@lexfridman	2.2M views	1 month ago	
66	https://www.youtube.com/watch?v=dwdflqNCZJg&list=WL&index=66&pp=gAQBiAQB	22:14	20 Mind-Blowing iOS 26 Shortcuts with Apple Intelligence!	Stephen Robles	https://www.youtube.com/@beardfm	116K views	1 month ago	WATCHED
67	https://www.youtube.com/watch?v=httdmxu0N7k&list=WL&index=67&pp=gAQBiAQB	19:14	Make the Most Realistic AI Videos Possible (Step-by-Step Tutorial)	Curious Refuge	https://www.youtube.com/@curiousrefuge	102K views	2 months ago	
68	https://www.youtube.com/watch?v=iRTK-jsfleg&list=WL&index=68&pp=gAQBiAQB	11:51	95% of People STILL Prompt ChatGPT-5 Wrong	Jeff Su	https://www.youtube.com/@JeffSu	538K views	1 month ago	
69	https://www.youtube.com/watch?v=8InCAFYQuxo&list=WL&index=69&t=36s&pp=gAQBiAQB	20:50	PRO LEVEL ShadCN & Cursor Landing Page in 20 minutes	DesignCourse	https://www.youtube.com/@DesignCourse	112K views	3 months ago	WATCHED
70	https://www.youtube.com/watch?v=X_ClPE5Y2q4&list=WL&index=70&t=11s&pp=gAQBiAQB	35:30	From Apple & Uber to Creating a Multi-Billion Dollar Wallet Industry | Magic Labs Documentary	EO	https://www.youtube.com/@eoglobal	16K views	1 month ago	WATCHED
71	https://www.youtube.com/watch?v=AH_ugxmLeUM&list=WL&index=71&t=14s&pp=gAQBiAQB	7:17	7 UI/UX mistakes that SCREAM you’re a beginner	Kole Jain	https://www.youtube.com/@KoleJain	231K views	5 months ago	WATCHED
72	https://www.youtube.com/watch?v=E1lSjweOXKY&list=WL&index=72&pp=gAQBiAQB0gcJCQMKAYcqIYzv	10:03	AI Adoption - Are we solving the right problem?	Caleb Writes Code	https://www.youtube.com/@CalebWritesCode	15K views	1 month ago	
73	https://www.youtube.com/watch?v=xZD8_imniuo&list=WL&index=73&pp=gAQBiAQB	11:17	Why Apple Has a Big AI Problem	Bloomberg Originals	https://www.youtube.com/@business	487K views	1 month ago	
74	https://www.youtube.com/watch?v=KSgPNVmZ8jQ&list=WL&index=74&pp=gAQBiAQB	53:04	From Vibe Coding to Vibe Researching: OpenAI’s Mark Chen and Jakub Pachocki	a16z	https://www.youtube.com/@a16z	25K views	1 month ago	
75	https://www.youtube.com/watch?v=0cczp_HQPAQ&list=WL&index=75&t=2560s&pp=gAQBiAQB0gcJCQMKAYcqIYzv	44:50	Why Businesses Are Rejecting the AI They’ve Asked For ft Agency CEO Elias Torres	Sequoia Capital	https://www.youtube.com/@sequoiacapital	93K views	1 month ago	WATCHED
76	https://www.youtube.com/watch?v=68ykn5STt3w&list=WL&index=76&t=21s&pp=gAQBiAQB0gcJCQMKAYcqIYzv	29:29	How Microsoft is Fixing the Biggest AI Agent Problem	The Next Wave - AI and the Future of Technology	https://www.youtube.com/@TheNextWavePod	4.2K views	1 month ago	WATCHED
77	https://www.youtube.com/watch?v=Mn0H3s0K8kw&list=WL&index=77&t=32s&pp=gAQBiAQB	23:24	2. Marriage Contracts & The Right To Protection In Islam - Maulana Syed Muhammad Rizvi	Jaffari Community Centre	https://www.youtube.com/@JaffariCC	1K views	1 month ago	WATCHED
78	https://www.youtube.com/watch?v=8EqTEGAMC3I&list=WL&index=78&t=208s&pp=gAQBiAQB	42:27	The Prophet’s Advice To Abū Dharr: Kindness, Service, And Family - Dr. Sheikh Abu Sumayya	Jaffari Community Centre	https://www.youtube.com/@JaffariCC	622 views	1 month ago	WATCHED
79	https://www.youtube.com/watch?v=rgitNwwxllg&list=WL&index=79&pp=gAQBiAQB0gcJCQMKAYcqIYzv	59:25	Unveiling The Power Of Strategy With Seth Godin	Behind the Brand	https://www.youtube.com/@BehindtheBrand	30K views	1 year ago	
80	https://www.youtube.com/watch?v=t6JA1YLulbg&list=WL&index=80&pp=gAQBiAQB	1:06:49	How To Turn $100K into $4,000,000 with Distressed Investing	My First Million	https://www.youtube.com/@MyFirstMillionPod	37K views	1 month ago	
